Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m?) Missing HI and AK,GDP 2018,"Percentage Living in Poverty, All Ages, 2016",% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),Social Association Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,% Fair or Poor Health,Average Number of Physically Unhealthy Days,% Smokers (adults),% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Chronic Respiratory Disease: mortality rate per 100K (2014),Avg Temp 10 Before First-Current,Stay At Home Order After First Case
19,0,9974,22.6188089,18.8490074,71.9370363,0.37096451,0.44114698,0.0401,1.73450973,25.1353519,53.1782635,100,15.8,7.2,18542.74,413334,31.7,7.31034483,39.6,6.47816501,5.95474395,10.9,No,19.4575472,30.3559106,5.48627404,22.6159112,46.9,33.7,4.86768741,55.88,19.76,1
19,2,18439,16.9098107,20.3698682,80.0477249,0.26574109,0.60740821,0.0163,1.82764792,16.1397039,54.5365801,55.5472683,35.2,16.8,18568.41,437305,30,5.46315251,39.7,6.7510675,6.93148494,11.7,Yes,19.8989261,29.8633381,5.41281168,21.4146964,49.6,32.3,31.3397352,45.36,18.37037037,1
191,3,366519,21.8176957,15.040148,24.4369323,0.80978067,2.67789664,0.11513728,5.0687686,64.5958327,51.1419599,16.4415148,417.7,182.7,16052.67,21707550,13.5,3.46032311,16.9,5.24048088,10.8019477,11.6,No,11.9435513,19.2578253,4.3656225,16.8201727,32.9,22,69.3134336,61.87,14.98571429,1
23,1,19066,22.736809,19.6003357,51.0752124,0.24126718,0.30420644,0.18357285,2.58050981,44.87045,53.1469632,69.3156418,21.5,10.5,18388.49,657507,25.8,5.00724733,34.5,7.48394295,17.0322581,10.6,No,18.0981595,26.2417374,5.28548421,21.3560004,42.2,32.4,42.9352737,62.26,18.08,1
58,4,29763,20.7741155,21.2377785,3.78322078,0.42334442,0.32590801,0.0638,2.57366529,91.8254208,50.6568558,88.8549519,41.5,19.9,16759.02,804250,18.5,4.08797514,27.4,4.78808713,10.3911776,10.5,Yes,11.13336,22.2565047,4.91201807,19.0602036,36.8,31.3,47.0334027,87.77,15.67714286,1
104,2,96109,24.9050557,17.0379465,2.403521,1.12164313,0.73354212,0.27156666,14.3254014,80.4367957,50.5748681,53.268687,164.4,71.3,16548.5,3061736,21,3.38278792,27.9,4.9171491,10.2566249,11.8,No,13.9291933,22.3946531,4.96523431,21.0178535,34.4,36.2,54.4189897,105.63,15.6,1
509,17,413757,23.3738644,16.2029887,35.7456188,0.93895692,2.06594692,0.0433,3.05686671,56.721699,52.3689025,20.0202425,335.9,144.9,18767.21,17882906,19.5,4.69462024,31.4,5.27160836,11.6679349,10.8,Yes,16.6180475,22.3990914,4.52772434,19.3699692,36.3,30.6,70.2175829,65.83,20.11891892,1
7,1,21067,21.5645322,20.2924004,40.9645417,1.34333318,0.46992927,0.0427,1.61389851,53.9564247,52.5086628,79.0445639,22.5,11,18832.46,618262,25.7,6.17490919,31.6,8.40203675,12.6600084,10.4,No,10.5231509,30.0161959,5.6737682,23.257539,41.8,33.7,51.5432634,64.72,20.63571429,1
161,5,225763,23.375841,15.1366699,58.5454658,0.33663621,3.19051395,0.0952,3.51563365,33.2884485,52.8168921,10.4912301,292.5,129.6,18614.33,12633330,18.8,3.99605982,31.3,5.48820446,15.0454894,11.9,No,18.3041648,23.8750862,5.03961935,19.6831529,37.7,28.7,73.7847866,68.04,18.98372093,1
42,0,119089,22.8131901,17.468448,12.6594396,1.10085734,0.70199599,0.15282688,8.45334162,75.3352535,50.7242483,38.5973722,206.3,88.4,16317.8,4980085,15.8,3.51976428,20.1,4.59536687,12.5401875,11.6,No,13.4409184,20.5542823,4.55781638,18.8557062,32.4,26.6,59.2292242,76.82,15.578125,1
7,0,9140,21.2472648,19.4091904,67.5273523,0.26258206,0.60175055,0.0438,1.44420131,29.5514223,53.1619256,100,14.7,6.6,18296.74,183432,35,6.5351781,52.8,4.71470559,10.7077846,10.7,No,17.8125,35.4290541,6.4033291,26.0030886,43.4,34.6,52.724011,67.18,17.305,0
24,0,19938,19.6659645,19.0239743,39.8234527,0.24074631,0.33604173,0.33604173,4.75473969,53.8669877,50.1053265,100,22.4,10.8,17876.25,390766,25.8,4.56117873,30.8,5.82206738,9.91276765,10.5,No,14.2388451,26.5932648,5.21154907,21.199123,34.9,25.5,5.88473615,63.94,18.09354839,1
22,0,33338,18.9813426,14.9589058,37.3147759,0.70790089,2.12970184,0.09,2.40566321,55.7921891,51.7127602,51.6793824,48.9,22.7,18800.49,1309102,25.1,4.50426789,30.6,6.95347478,10.5209367,11,No,15.78125,24.5541632,5.08888596,20.6046562,36.2,27.8,51.4179762,72.77,19.85483871,1
45,4,22725,21.4477448,20.3520352,19.3619362,0.47084709,0.39163916,0.11441144,2.90869087,75.3355336,51.3487349,81.3424693,39.5,20.6,17999.48,427804,21.8,4.01551688,31.4,5.09042659,9.26334363,11,No,15.132336,21.3892945,4.76178938,18.9983575,37.4,34.2,40.6668703,73.3,16.44482759,1
30,0,57781,24.1740365,14.3299701,44.756927,0.6213115,0.87745107,0.28036898,5.61603295,45.983974,51.9824856,35.4089939,82.6,38.4,18473.6,1472862,19.3,4.02054477,31.6,5.19855482,9.99211149,12.1,No,16.7897918,25.4631488,5.02427394,21.7913198,45.1,31.5,64.3492549,80.35,18.58387097,1
45,0,215707,23.4786076,15.3388624,12.8910977,0.39451664,2.25815574,0.0579,5.778672,77.5310954,51.6612813,22.9448702,132.3,103.2,17539.76,1764952,7.9,2.85142305,8.9,4.18007839,11.1420613,12,No,10.554385,16.48944,3.97932281,15.5611575,35,25,83.6983879,53.63,17.3225,1
235,7,88690,22.6925245,16.6174315,9.32574135,0.35967978,0.89074304,0.0755,2.50761078,85.6015334,50.3585523,72.7967653,248.5,56.2,18180.59,10317323,12,3.49519946,15,4.21511331,8.61687774,12,No,10.5560792,19.2725713,4.53789553,18.3353013,36.6,30.7,42.332492,91.5,16.97948718,1
26,0,12691,18.9661965,18.012765,71.4128122,0.1339532,2.01717753,0.0315,1.15042156,24.5528327,54.2825625,100,15.2,7.5,18077.55,326706,32.4,5.89345638,48.1,7.5608453,9.45850083,10.4,No,23.2581967,33.6330161,5.86933691,22.491915,42.8,37.6,36.3220228,51.49,19.08,1
38,1,79828,21.1930651,18.0012026,32.5675202,0.40837801,0.65766398,0.0276,2.35882147,62.4968683,51.6710929,55.8153383,111.7,50.3,18024.92,2840194,18,4.27983304,26.4,5.00869775,12.3649535,11.5,No,13.1754609,23.1971243,4.820209,23.1598623,38.8,34.9,48.0210473,89.67,17.45405405,1
123,7,40497,20.6657283,21.5596217,26.7797615,0.42719214,0.619799,0.0593,2.35079142,68.7804035,51.522335,74.2262591,58.1,30.9,18479.2,1186139,20.2,4.18636057,30.7,5.55579632,14.011455,11.4,No,17.0746634,22.8473068,4.77774319,18.1800672,36,30,68.8052672,83.09,17.5030303,1
122,0,208911,20.9471976,13.2798177,31.8446611,0.33459224,1.62461527,0.0661,3.88442926,61.2203283,51.8507881,25.5080758,147.3,64.2,18182.05,9042556,17.6,3.65662751,20.9,5.01733936,11.0677491,11.3,No,17.0570699,20.26233,4.50406288,17.8726324,34.6,30,75.6606526,71,17.23809524,1
84,0,63711,22.1986784,19.3231938,6.06331717,0.55720362,0.60586084,0.10830155,2.56470625,88.9234198,51.2799987,74.0879996,84.7,38.9,17567.25,2058416,20.5,4.24956231,24.7,5.05016172,14.6742015,11.6,No,12.2643382,24.3717189,5.20990121,22.6809846,39.6,35.7,43.9849007,119.7,15.67837838,1
12,1,16378,22.0051288,19.1110026,23.3300769,7.85810233,0.90365124,0.10990353,1.58138967,65.117841,50.8181707,100,16.3,7.8,18455.29,799290,18.2,5.83470827,25.8,5.04904078,15.1231021,10.1,No,10.0572363,23.0408588,4.99643407,20.7900921,32.9,34.1,18.2867869,64.48,19.96388889,1
31,0,10627,23.7602334,19.4410464,70.7349205,0.22583984,0.23524984,0.0188,1.41149901,26.6491014,52.4230733,100,13.1,6.4,18676.57,378418,31.9,9.58302853,50.6,5.76284399,6.53045993,10.4,No,12.6649077,29.4418661,5.45423822,22.0666302,47.7,36.8,5.7412168,65.03,19.85483871,1
4,0,23660,20.4268808,21.5595943,0.79459003,0.87066779,0.36770921,0.20287405,3.19526627,93.6939983,50.739645,84.8921745,39.9,22,16689.09,667455,17.3,4.19180043,27.6,4.35359945,9.27409156,11,Yes,10.4928458,21.4314198,4.82029817,19.6479681,37.8,32.2,76.3723248,109.56,15.9137931,1
0,0,3515,7.88051209,9.21763869,10.4125178,19.6870555,43.3570413,1.19487909,14.7083926,8.59174964,32.4608819,100,0.4,0.1,,201612,14.8,2.97285653,12.5,4.24206114,0,NA,Yes,12.6582279,16.8345209,3.41331764,16.6468109,50.5,30,100,33.95,,0
0,0,5723,11.1479993,6.88450114,6.48261401,11.77704,41.2196401,2.35890267,13.8214223,23.204613,34.4749257,100,1.3,0.4,,353175,8,3.54080221,8.1,3.01378877,0,NA,Yes,18.9873418,15.1726265,3.01143928,15.1428234,44.3,30.1,100,33.95,,0
136,4,291538,24.4698804,11.0904925,5.44800335,8.87191378,10.0906228,2.68472721,9.29793029,57.3163704,49.1030329,4.11717942,171.2,66.3,,20329942,7.2,5.49391247,12.1,3.83747986,11.3128321,NA,Yes,16.2189197,14.9911071,3.50308477,15.041432,31.8,17.6,100,46.53,-3.555,1
1,0,18216,35.9134827,7.69653052,0.91128678,83.7889767,0.95520422,0.23605621,2.4264383,9.64536671,48.5287659,73.9375772,0.4,0.1,,625190,25.5,12.7702703,41.2,5.67245929,3.87253817,NA,Yes,60.2634468,23.9638747,5.37838037,30.4180171,31,31.3,100,77.79,-5.572222222,0
0,0,877,19.0421893,14.4811859,0.7981756,32.6111745,1.36830103,0.34207526,7.52565564,43.4435576,46.63626,100,2,1.9,,130341,11.4,6.34920635,15.2,3.88370178,0,NA,No,15.2777778,15.3852694,3.67253591,18.1376436,41.8,28.8,100,58.79,,0
0,0,2059,18.64983,11.8989801,2.13695969,5.29383196,5.34239922,0.0486,3.20543953,79.9902866,44.3419136,100,0.1,0.1,,237263,6.3,7.8125,7.3,3.14824851,0,NA,No,26.2411348,13.4890192,3.35035218,17.5746877,25.3,18.1,100,61.13,,0
0,0,5000,31.56,9.4,0.72,72.34,0.9,0.24,3.76,15.22,49.64,100,0.3,0.1,,248432,19.6,8.18944253,31.6,4.66233932,0,NA,No,37.8181818,23.0242009,4.81739904,26.9308172,35.6,23.9,100,71.15,,0
79,1,98971,24.1090825,10.3100908,4.90042538,7.91140839,3.49092158,0.54561437,8.36709743,69.2546301,46.1357367,30.8707638,13.3,5.7,,5654089,8.5,5.80247717,9.4,3.67450465,9.72889482,NA,No,23.7926639,11.9564128,3.03884006,15.8535789,30,18.2,100,54.63,-6.115384615,1
0,0,2474,17.1382377,22.069523,0.60630558,10.4688763,1.05092967,0,3.23362975,77.4050121,50.6063056,100,1.1,0.7,,98959,10.3,9.52380952,16.4,4.10291008,0,NA,No,25.2136752,12.7128327,3.45610307,16.1178286,27,20.8,100,51.02,,0
